titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Xiaomi Pocophone Poco X4 GT Dual SIM 128 GB negro 8 GB RAM,,1.599,Nuevo | +50 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Xiaomi Pocophone Poco M5s Dual SIM 128 GB amarillo 6 GB RAM,,899,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Apple iPhone 11 (64 GB) - Amarillo,,2.399,Nuevo | +50 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Xiaomi Redmi K60 Dual SIM 256 GB black 12 GB RAM,,2.199,Nuevo | 1 vendido,a todo el país,,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - Verde,,2.799,Nuevo | +100 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
iPhone 11 Pro 256 GB verde medianoche,,3.999,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
iPhone 11 Pro Max 256 GB oro,,3.499,Nuevo | +5 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Xiaomi Redmi A1 2022 Dual SIM 32 GB azul claro 2 GB RAM,,349,Nuevo | +50 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Samsung Galaxy A33 5G 5G 128 GB awesome white 6 GB RAM,,1.249,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Samsung Galaxy S22 Ultra 5G (Snapdragon) 128 GB burgundy 8 GB RAM,,3.399,Nuevo | 2 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Moto G60s 128 GB azul 6 GB RAM,,999,Nuevo | +50 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Mi 11 Lite Dual SIM 128 GB bubblegum blue 8 GB RAM,,1.299,Nuevo | +5 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Samsung Galaxy A33 5G 5G 128 GB awesome peach 6 GB RAM,,1.299,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Realme C21Y Dual SIM 64 GB cross black 4 GB RAM,,499,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Huawei P smart 32 GB negro 3 GB RAM,,499,Nuevo | +50 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 64 GB azul océano 4 GB RAM,,599,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Xiaomi Mi 11 Lite 5G NE Dual SIM 128 GB negro trufa 8 GB RAM,,1.399,Nuevo | +25 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Huawei P30 Lite 128 GB peacock blue 4 GB RAM,,849,Nuevo | +100 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Honor X8 Dual SIM 128 GB plata sideral 6 GB RAM,,899,Nuevo | +50 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Xiaomi Redmi Note 10 Pro (64 Mpx) Dual SIM 128 GB glacial blue 6 GB RAM,,1.099,Nuevo | 4 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
